food-authority	local-authority	name	website	email
282	SOM-UC	Sedgemoor	http://www.sedgemoor.gov.uk	environmental.services@sedgemoor.gov.uk
424	SFT	Sefton	http://www.sefton.gov.uk/	ETSContact@sefton.gov.uk
256	NYK-UH	Selby	http://www.selby.gov.uk	info@selby.gov.uk
187	KEN-UK	Sevenoaks	http://www.sevenoaks.gov.uk/	eh.support@dartford.gov.uk
425	SHF	Sheffield	https://www.sheffield.gov.uk/environment/environmental-health.html	healthprotection@sheffield.gov.uk
188	KEN-UL	Shepway	http://www.shepway.gov.uk	environmental.services@shepway.gov.uk
789	ZET	Shetland Islands	http://www.shetland.gov.uk/	foodsafety@shetland.gov.uk
708	SHR	Shropshire	http://www.shropshire.gov.uk/foodhygienescheme	food@shropshire.gov.uk
885	SLG	Slough	http://www.slough.gov.uk	foodandsafety@slough.gov.uk
426	SOL	Solihull	http://www.solihull.gov.uk/foodhygieneratingscheme/default.htm	pprotection@solihull.gov.uk
766	SAY	South Ayrshire	http://www.south-ayrshire.gov.uk/environmentalhealth/foodsafety/fhis.aspx	environmental.health@south-ayrshire.gov.uk
024	BKM-UE	South Buckinghamshire	http://www.southbucks.gov.uk	envhealth@southbucks.gov.uk
032	CAM-UG	South Cambridgeshire	http://www.scambs.gov.uk/	env.health@scambs.gov.uk
069	DBY-UK	South Derbyshire	http://www.south-derbys.gov.uk	environmental.health@south-derbys.gov.uk
856	SGC	South Gloucestershire	http://www.southglos.gov.uk	foodandhealth@southglos.gov.uk
077	DEV-UG	South Hams	http://www.southhams.gov.uk/	environmental.health@southhams.gov.uk
223	LIN-UF	South Holland	http://www.sholland.gov.uk	foodhs@sholland.gov.uk
224	LIN-UG	South Kesteven	http://www.southkesteven.gov.uk	healthy@southkesteven.gov.uk
060	CMA-UG	South Lakeland	http://www.southlakeland.gov.uk	publicprotection@southlakeland.gov.uk
780	SLK	South Lanarkshire	http://www.southlanarkshire.gov.uk/	slc_environmental_services@southlanarkshire.gcsx.gov.uk
233	NFK-UH	South Norfolk	http://www.south-norfolk.gov.uk	envserv@s-norfolk.gov.uk
240	NTH-UG	South Northamptonshire	http://www.southnorthants.gov.uk/	health.protection@southnorthants.gov.uk
270	OXF-UD	South Oxfordshire	https://www.southoxon.gov.uk	env.health@southandvale.gov.uk
205	LAN-UN	South Ribble	http://www.southribble.gov.uk	envhealth@southribble.gov.uk
283	SOM-UD	South Somerset	http://www.southsomerset.gov.uk/food	food.safety@southsomerset.gov.uk
291	STS-UF	South Staffordshire	http://www.sstaffs.gov.uk	env.commercial@sstaffs.gov.uk
427	STY	South Tyneside	http://www.southtyneside.info	environmental.health@southtyneside.gov.uk
877	STH	Southampton	http://www.southampton.gov.uk	hygiene.rating@southampton.gov.uk
893	SOS	Southend-On-Sea	http://www.southend.gov.uk	steveramm@southend.gov.uk
528	SWK	Southwark	http://www.southwark.gov.uk/	food@southwark.gov.uk
311	SRY-UH	Spelthorne	http://www.spelthorne.gov.uk	environmental.health.commercial@spelthorne.gov.uk
160	HRT-UG	St Albans City	http://www.stalbans.gov.uk/business/Health-and-safety/food-safety/foodHygieneRating.aspx	fhrs@stalbans.gov.uk
301	SFK-UF	St Edmundsbury	http://www.westsuffolk.gov.uk	food&safety@westsuffolk.gov.uk
421	SHN	St Helens	http://www.sthelens.gov.uk	environmentalhealth@sthelens.gov.uk
292	STS-UG	Stafford	http://www.staffordbc.gov.uk	regulatoryservices@staffordbc.gov.uk
293	STS-UH	Staffordshire Moorlands	http://www.staffsmoorlands.gov.uk	environmental.health@staffsmoorlands.gov.uk
161	HRT-UH	Stevenage	http://www.stevenage.gov.uk	env.health@stevenage.gov.uk
790	STG	Stirling	http://www.stirling.gov.uk	thefoodteam@stirling.gov.uk
428	SKP	Stockport	http://www.stockport.gov.uk	food.safety@stockport.gov.uk
862	STT	Stockton On Tees	http://www.stockton.gov.uk	environmental.health@stockton.gov.uk
880	STE	Stoke-On-Trent	http://www.stoke.gov.uk	PublicProtection@stoke.gov.uk
320	WAR-UE	Stratford-on-Avon	http://www.stratford.gov.uk	food@stratford-dc.gov.uk
128	GLS-UF	Stroud	http://www.stroud.gov.uk	environmental.health@stroud.gov.uk
302	SFK-UG	Suffolk Coastal	http://www.suffolkcoastal.gov.uk	environment@eastsuffolk.gov.uk
429	SND	Sunderland	http://www.sunderland.gov.uk	public.health@sunderland.gov.uk
312	SRY-UJ	Surrey Heath	http://www.surreyheath.gov.uk	environmental.health@surreyheath.gov.uk
529	STN	Sutton	http://www.sutton.gov.uk	brs@sutton.gov.uk
189	KEN-UM	Swale	http://www.swale.gov.uk	commerical@midkent.gov.uk
568	SWA	Swansea	http://www.swansea.gov.uk	FoodandSafety@swansea.gov.uk
881	SWD	Swindon	http://www.swindon.gov.uk/	foodhealth&safety@swindon.gov.uk
430	TAM	Tameside	http://www.tameside.gov.uk	environmentalhealth@tameside.gov.uk
295	STS-UK	Tamworth	http://www.tamworth.gov.uk	publicprotection@tamworth.gov.uk
313	SRY-UK	Tandridge	http://www.tandridge.gov.uk/	fsa_enforcement@tandridge.gov.uk
284	SOM-UE	Taunton Deane	http://www.tauntondeane.gov.uk	Foodsafety@tauntondeane.gov.uk
078	DEV-UH	Teignbridge	http://www.teignbridge.gov.uk/fhrs	fhrs@teignbridge.gov.uk
900	TFW	Telford and Wrekin Council	http://www.telford.gov.uk/	environmental.health@telford.gov.uk
120	ESS-UN	Tendring	http://www.tendringdc.gov.uk/	fhsadmin@tendringdc.gov.uk
142	HAM-UN	Test Valley	http://www.testvalley.gov.uk/	envhealth@testvalley.gov.uk
129	GLS-UG	Tewkesbury	http://www.tewkesbury.gov.uk	ehenquiries@tewkesbury.gov.uk
190	KEN-UN	Thanet	http://www.thanet.gov.uk	environmental.health@thanet.gov.uk
162	HRT-UJ	Three Rivers	http://www.threerivers.gov.uk	enquiries@Threerivers.gov.uk
894	THR	Thurrock	http://www.thurrock.gov.uk/food	foodsafety@thurrock.gov.uk
191	KEN-UP	Tonbridge and Malling	http://www.tmbc.gov.uk	foodandsafety@tmbc.gov.uk
892	TOB	Torbay	http://www.torbay.gov.uk/	food.safety@torbay.gov.uk
569	TOF	Torfaen	http://www.torfaen.gov.uk/	commercial.services@torfaen.gov.uk
080	DEV-UK	Torridge	http://www.torridge.gov.uk/food	foodandsafety@torridge.gov.uk
530	TWH	Tower Hamlets	http://www.towerhamlets.gov.uk	foodsafety@towerhamlets.gov.uk
431	TRF	Trafford	http://www.trafford.gov.uk	environmental.health@trafford.gov.uk
192	KEN-UQ	Tunbridge Wells	http://www.tunbridgewells.gov.uk	foodandcomm@tunbridgewells.gov.uk
122	ESS-UQ	Uttlesford	http://www.uttlesford.gov.uk	environmentalhealth@uttlesford.gov.uk
570	VGL	Vale of Glamorgan	http://www.valeofglamorgan.gov.uk	foodsafetyteam@valeofglamorgan.gov.uk
271	OXF-UE	Vale of White Horse	http://www.whitehorsedc.gov.uk	env.health@whitehorsedc.gov.uk
432	WKF	Wakefield	http://www.wakefield.gov.uk	food@wakefield.gov.uk
433	WLL	Walsall	http://www.walsall.gov.uk/index/environment/food_production_and_quality.htm	foodsafety@walsall.gov.uk
531	WFT	Waltham Forest	http://www.walthamforest.gov.uk	environmentalhealth@walthamforest.gov.uk
532	WND	Wandsworth	http://www.wandsworth.gov.uk	foodsafety@wandsworth.gov.uk
890	WRT	Warrington	http://www.warrington.gov.uk	environmental.health@warrington.gov.uk
321	WAR-UF	Warwick	http://www.warwickdc.gov.uk	foodsafety@warwickdc.gov.uk
163	HRT-UK	Watford	http://www.watford.gov.uk/foodhygieneratings	envhealth@watford.gov.uk
303	SFK-UH	Waveney	http://www.waveney.gov.uk	environment@eastsuffolk.gov.uk
314	SRY-UL	Waverley	http://www.waverley.gov.uk	environmentalhealth@waverley.gov.uk
107	ESX-UH	Wealden	http://www.wealden.gov.uk	envhealth@rother.gov.uk
241	NTH-UH	Wellingborough	http://www.wellingborough.gov.uk	HealthProtection@wellingborough.gov.uk
164	HRT-UL	Welwyn Hatfield	http://www.welhat.gov.uk	e.health@welhat.gov.uk
883	WBK	West Berkshire	http://www.westberks.gov.uk	EHAdvice@westberks.gov.uk
081	DEV-UL	West Devon	http://www.westdevon.gov.uk	eh@westdevon.gov.uk
089	DOR-UH	West Dorset	http://www.dorsetforyou.com	env.health@westdorset-dc.gov.uk
769	WDU	West Dunbartonshire	http://www.west-dunbarton.gov.uk	environmental.health@west-dunbarton.gov.uk
206	LAN-UP	West Lancashire	http://www.westlancs.gov.uk	EnvHealth.Admin@westlancs.gov.uk
225	LIN-UH	West Lindsey	https://www.west-lindsey.gov.uk	food.healthandsafety@west-lindsey.gov.uk
782	WLN	West Lothian	http://www.westlothian.gov.uk/	environmentalhealth@westlothian.gov.uk
272	OXF-UF	West Oxfordshire	http://www.westoxon.gov.uk	community.services@westoxon.gov.uk
285	SOM-UF	West Somerset	http://www.westsomersetonline.gov.uk	licensingenvhealth@westsomerset.gov.uk
533	WSM	Westminster	http://www.westminster.gov.uk/	foodsafety@westminster.gov.uk
090	DOR-UJ	Weymouth and Portland	http://www.dorsetforyou.com	envhealth@weymouth.gov.uk
434	WGN	Wigan	http://www.wigan.gov.uk/	comm@wigan.gov.uk
709	WIL	Wiltshire	http://www.wiltshire.gov.uk	publicprotectioneast@wiltshire.gov.uk
143	HAM-UP	Winchester City	http://www.winchester.gov.uk	healthprotection@winchester.gov.uk
886	WNM	Windsor and Maidenhead	http://www.rbwm.gov.uk/	customer.service@rbwm.gov.uk
435	WRL	Wirral	http://www.wirral.gov.uk	environmentalhealth@wirral.gov.uk
315	SRY-UM	Woking	http://www.woking.gov.uk	emma.bourne@woking.gov.uk
887	WOK	Wokingham	http://www.wokingham.gov.uk/welcome/	environmental.health@wokingham.gov.uk
436	WLV	Wolverhampton	http://www.wolverhampton.gov.uk/	environmentalhealth@wolverhampton.gov.uk
151	WOR-UE	Worcester City	http://www.worcsregservices.gov.uk	wrsenquiries@worcsregservices.gov.uk
329	WSX-UH	Worthing	http://www.adur-worthing.gov.uk	envsupport@adur-worthing.gov.uk
571	WRX	Wrexham	http://www.wrexham.gov.uk/	public_protection_service@wrexham.gov.uk
152	WOR-UF	Wychavon	http://www.worcsregservices.gov.uk	wrsenquiries@worcsregservices.gov.uk
025	BKM-UF	Wycombe	http://www.wycombe.gov.uk	Food.Ratings@wycombe.gov.uk
207	LAN-UQ	Wyre	https://wyre.gov.uk	mailroom@wyre.gov.uk
153	WOR-UG	Wyre Forest	http://www.worcsregservices.gov.uk	wrsenquiries@worcsregservices.gov.uk
868	YOR	York	http://www.york.gov.uk	food.safety@york.gov.uk
